"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","593"
"eastern cape","Public Health","7342"
"free state","Private Health","489"
"free state","Public Health","3038"
"gauteng","Private Health","3864"
"gauteng","Public Health","7273"
"kwazulu-natal","Private Health","864"
"kwazulu-natal","Public Health","6950"
"limpopo","Private Health","584"
"limpopo","Public Health","6406"
"mpumalanga","Private Health","281"
"mpumalanga","Public Health","3265"
"northern cape","Private Health","199"
"northern cape","Public Health","1038"
"north west","Private Health","719"
"north west","Public Health","2120"
"western cape","Private Health","1712"
"western cape","Public Health","2292"
