"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","758"
"Janssen Vaccines & Prevention B.V","free state","Adults","257"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1297"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","870"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","741"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","738"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","111"
"Janssen Vaccines & Prevention B.V","north west","Adults","361"
"Janssen Vaccines & Prevention B.V","western cape","Adults","394"
"Pfizer","eastern cape","12-17 Years","1256"
"Pfizer","eastern cape","Adults","809"
"Pfizer","free state","12-17 Years","764"
"Pfizer","free state","Adults","401"
"Pfizer","gauteng","12-17 Years","1105"
"Pfizer","gauteng","Adults","2052"
"Pfizer","kwazulu-natal","12-17 Years","989"
"Pfizer","kwazulu-natal","Adults","1202"
"Pfizer","limpopo","12-17 Years","942"
"Pfizer","limpopo","Adults","667"
"Pfizer","mpumalanga","12-17 Years","425"
"Pfizer","mpumalanga","Adults","302"
"Pfizer","northern cape","12-17 Years","35"
"Pfizer","northern cape","Adults","147"
"Pfizer","north west","12-17 Years","326"
"Pfizer","north west","Adults","399"
"Pfizer","western cape","12-17 Years","71"
"Pfizer","western cape","Adults","623"
