"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","79"
"Janssen Vaccines & Prevention B.V","free state","Adults","21"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","317"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","133"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","178"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","140"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","29"
"Janssen Vaccines & Prevention B.V","north west","Adults","82"
"Janssen Vaccines & Prevention B.V","western cape","Adults","84"
"Pfizer","eastern cape","12-17 Years","394"
"Pfizer","eastern cape","Adults","245"
"Pfizer","free state","12-17 Years","31"
"Pfizer","free state","Adults","63"
"Pfizer","gauteng","12-17 Years","70"
"Pfizer","gauteng","Adults","228"
"Pfizer","kwazulu-natal","12-17 Years","66"
"Pfizer","kwazulu-natal","Adults","172"
"Pfizer","limpopo","12-17 Years","165"
"Pfizer","limpopo","Adults","169"
"Pfizer","mpumalanga","12-17 Years","86"
"Pfizer","mpumalanga","Adults","106"
"Pfizer","northern cape","12-17 Years","58"
"Pfizer","northern cape","Adults","23"
"Pfizer","north west","12-17 Years","19"
"Pfizer","north west","Adults","45"
"Pfizer","western cape","12-17 Years","43"
"Pfizer","western cape","Adults","69"
