"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","9"
"eastern cape","Public Health","1667"
"free state","Private Health","47"
"free state","Public Health","246"
"gauteng","Private Health","154"
"gauteng","Public Health","1229"
"kwazulu-natal","Private Health","13"
"kwazulu-natal","Public Health","799"
"limpopo","Private Health","32"
"limpopo","Public Health","1280"
"mpumalanga","Private Health","6"
"mpumalanga","Public Health","723"
"mpumalanga","","1"
"northern cape","Public Health","225"
"north west","Private Health","36"
"north west","Public Health","360"
"western cape","Private Health","10"
"western cape","Public Health","410"
