"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","535278"
"kwazulu-natal","Private Health","1232805"
"western cape","Private Health","1914383"
"limpopo","Private Health","604435"
"northern cape","Public Health","605057"
"gauteng","Private Health","4554127"
"kwazulu-natal","Public Health","4632036"
"free state","Public Health","1851707"
"north west","Public Health","1778853"
"gauteng","Public Health","5805713"
"mpumalanga","Private Health","405175"
"mpumalanga","Public Health","1910594"
"northern cape","Private Health","157350"
"eastern cape","Private Health","691129"
"western cape","Public Health","3665659"
"limpopo","Public Health","3121870"
"free state","Private Health","398653"
"eastern cape","Public Health","3505138"
