"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","524872"
"kwazulu-natal","Private Health","1207220"
"western cape","Private Health","1874271"
"limpopo","Private Health","585623"
"northern cape","Public Health","566053"
"gauteng","Private Health","4446324"
"kwazulu-natal","Public Health","4399384"
"free state","Public Health","1777668"
"north west","Public Health","1724668"
"gauteng","Public Health","5643587"
"mpumalanga","Private Health","391530"
"mpumalanga","Public Health","1792366"
"northern cape","Private Health","153536"
"eastern cape","Private Health","675060"
"western cape","Public Health","3590502"
"limpopo","Public Health","2989677"
"free state","Private Health","387806"
"eastern cape","Public Health","3333138"
