"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","840985","0","113930","954915"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","455286","0","71765","527051"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1367648","0","171211","1538859"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1116586","0","142092","1258678"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1028702","0","116214","1144916"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","777322","0","90698","868020"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","201725","0","23346","225071"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","680339","0","93302","773641"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","644092","0","94687","738779"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60857","0","24220","85077"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24390","0","12199","36589"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137327","0","65377","202704"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94477","0","40018","134495"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34181","0","17016","51197"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21890","0","7150","29040"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23464","0","8964","32428"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94542","0","61528","156070"
"Pfizer","National","eastern cape","Adults","1313805","1098563","187443","2599811"
"Pfizer","National","eastern cape","12-17 Years","269111","78866","0","347977"
"Pfizer","National","free state","12-17 Years","168071","70721","0","238792"
"Pfizer","National","free state","Adults","661016","577165","114310","1352491"
"Pfizer","National","gauteng","12-17 Years","384846","157130","7","541983"
"Pfizer","National","gauteng","Adults","3851165","3323712","596654","7771531"
"Pfizer","National","kwazulu-natal","Adults","1932845","1598495","281830","3813170"
"Pfizer","National","kwazulu-natal","12-17 Years","268870","99800","4","368674"
"Pfizer","National","limpopo","Adults","1022681","858236","144944","2025861"
"Pfizer","National","limpopo","12-17 Years","255373","76864","0","332237"
"Pfizer","National","mpumalanga","12-17 Years","137965","38269","0","176234"
"Pfizer","National","mpumalanga","Adults","557172","456716","83139","1097027"
"Pfizer","National","northern cape","12-17 Years","30936","9174","0","40110"
"Pfizer","National","northern cape","Adults","220304","188000","28119","436423"
"Pfizer","National","north west","12-17 Years","150681","47185","0","197866"
"Pfizer","National","north west","Adults","611084","527757","96129","1234970"
"Pfizer","National","western cape","12-17 Years","130719","49979","1","180699"
"Pfizer","National","western cape","Adults","2099236","1838875","438397","4376508"
