"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","523388"
"kwazulu-natal","Private Health","1204204"
"western cape","Private Health","1869279"
"limpopo","Private Health","583077"
"northern cape","Public Health","562479"
"gauteng","Private Health","4434149"
"kwazulu-natal","Public Health","4370813"
"free state","Public Health","1768864"
"north west","Public Health","1715517"
"gauteng","Public Health","5620928"
"mpumalanga","Private Health","390275"
"mpumalanga","Public Health","1780046"
"northern cape","Private Health","153044"
"eastern cape","Private Health","673334"
"western cape","Public Health","3582777"
"limpopo","Public Health","2971134"
"free state","Private Health","386059"
"eastern cape","Public Health","3314446"
