"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538729"
"kwazulu-natal","Private Health","1238854"
"western cape","Private Health","1924919"
"limpopo","Private Health","612437"
"northern cape","Public Health","619133"
"gauteng","Private Health","4591156"
"kwazulu-natal","Public Health","4705479"
"mpumalanga","","23"
"free state","Public Health","1880838"
"north west","Public Health","1807652"
"gauteng","Public Health","5903467"
"mpumalanga","Private Health","407009"
"mpumalanga","Public Health","1962093"
"western cape","","3"
"northern cape","Private Health","158535"
"eastern cape","Private Health","695653"
"western cape","Public Health","3710805"
"limpopo","Public Health","3195016"
"limpopo","","2"
"free state","Private Health","402827"
"eastern cape","Public Health","3628189"
