"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","537729"
"kwazulu-natal","Private Health","1237723"
"western cape","Private Health","1923603"
"limpopo","Private Health","610417"
"northern cape","Public Health","611417"
"gauteng","Private Health","4581109"
"kwazulu-natal","Public Health","4678444"
"mpumalanga","","17"
"free state","Public Health","1871098"
"north west","Public Health","1791358"
"gauteng","Public Health","5856564"
"mpumalanga","Private Health","406729"
"mpumalanga","Public Health","1940239"
"western cape","","1"
"northern cape","Private Health","158253"
"eastern cape","Private Health","694768"
"western cape","Public Health","3691291"
"limpopo","Public Health","3160525"
"free state","Private Health","401271"
"eastern cape","Public Health","3571726"
