"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","5"
"eastern cape","Public Health","258"
"free state","Public Health","106"
"gauteng","Private Health","180"
"gauteng","Public Health","768"
"kwazulu-natal","Private Health","9"
"kwazulu-natal","Public Health","330"
"limpopo","Private Health","19"
"limpopo","Public Health","215"
"mpumalanga","Private Health","3"
"mpumalanga","Public Health","285"
"northern cape","Public Health","68"
"north west","Private Health","6"
"north west","Public Health","256"
"western cape","Private Health","19"
"western cape","Public Health","416"
