"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","537794"
"kwazulu-natal","Private Health","1237782"
"western cape","Private Health","1923727"
"limpopo","Private Health","610578"
"northern cape","Public Health","611955"
"gauteng","Private Health","4581584"
"kwazulu-natal","Public Health","4680300"
"mpumalanga","","18"
"free state","Public Health","1871768"
"north west","Public Health","1792154"
"gauteng","Public Health","5859164"
"mpumalanga","Private Health","406786"
"mpumalanga","Public Health","1942020"
"western cape","","1"
"northern cape","Private Health","158283"
"eastern cape","Private Health","694908"
"western cape","Public Health","3692384"
"limpopo","Public Health","3163120"
"free state","Private Health","401476"
"eastern cape","Public Health","3575611"
