"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","153","37","190"
"National","eastern cape","Amathole DM","Private Health","Male","95","18","113"
"National","eastern cape","Amathole DM","Public Health","Female","13992","4803","18795"
"National","eastern cape","Amathole DM","Public Health","Male","11911","3982","15893"
"National","eastern cape","A Nzo DM","Public Health","Female","30427","14937","45364"
"National","eastern cape","A Nzo DM","Public Health","Male","26558","11322","37880"
"National","eastern cape","Buffalo City MM","Private Health","Female","2873","1183","4056"
"National","eastern cape","Buffalo City MM","Private Health","Male","2340","900","3240"
"National","eastern cape","Buffalo City MM","Public Health","Female","16183","9199","25382"
"National","eastern cape","Buffalo City MM","Public Health","Male","12575","6319","18894"
"National","eastern cape","C Hani DM","Private Health","Female","224","102","326"
"National","eastern cape","C Hani DM","Private Health","Male","158","74","232"
"National","eastern cape","C Hani DM","Public Health","Female","13944","3622","17566"
"National","eastern cape","C Hani DM","Public Health","Male","11215","2644","13859"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","660","366","1026"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","501","217","718"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7848","2713","10561"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","7025","2167","9192"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4112","2063","6175"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3712","1724","5436"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15639","6393","22032"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12177","4489","16666"
"National","eastern cape","O Tambo DM","Private Health","Female","314","122","436"
"National","eastern cape","O Tambo DM","Private Health","Male","253","113","366"
"National","eastern cape","O Tambo DM","Public Health","Female","43687","16809","60496"
"National","eastern cape","O Tambo DM","Public Health","Male","36523","12493","49016"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1584","1087","2671"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1376","823","2199"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9620","5345","14965"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8082","3971","12053"
"National","free state","Fezile Dabi DM","Private Health","Female","471","343","814"
"National","free state","Fezile Dabi DM","Private Health","Male","449","286","735"
"National","free state","Fezile Dabi DM","Public Health","Female","13258","5015","18273"
"National","free state","Fezile Dabi DM","Public Health","Male","10805","3636","14441"
"National","free state","Lejweleputswa DM","Private Health","Female","3806","1463","5269"
"National","free state","Lejweleputswa DM","Private Health","Male","3046","1104","4150"
"National","free state","Lejweleputswa DM","Public Health","Female","14129","5270","19399"
"National","free state","Lejweleputswa DM","Public Health","Male","12105","3708","15813"
"National","free state","Mangaung MM","Private Health","Female","2949","1783","4732"
"National","free state","Mangaung MM","Private Health","Male","2428","1357","3785"
"National","free state","Mangaung MM","Public Health","Female","23557","13893","37450"
"National","free state","Mangaung MM","Public Health","Male","21045","11212","32257"
"National","free state","T Mofutsanyana DM","Private Health","Female","1863","1135","2998"
"National","free state","T Mofutsanyana DM","Private Health","Male","1592","923","2515"
"National","free state","T Mofutsanyana DM","Public Health","Female","26913","15445","42358"
"National","free state","T Mofutsanyana DM","Public Health","Male","23111","11607","34718"
"National","free state","Xhariep DM","Public Health","Female","4278","1190","5468"
"National","free state","Xhariep DM","Public Health","Male","3507","798","4305"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10873","6630","17503"
"National","gauteng","Ekurhuleni MM","Private Health","Male","10026","5640","15666"
"National","gauteng","Ekurhuleni MM","Public Health","Female","40998","15326","56324"
"National","gauteng","Ekurhuleni MM","Public Health","Male","32406","11158","43564"
"National","gauteng","Johannesburg MM","Private Health","Female","25476","13797","39273"
"National","gauteng","Johannesburg MM","Private Health","Male","23264","11969","35233"
"National","gauteng","Johannesburg MM","Public Health","Female","46536","16865","63401"
"National","gauteng","Johannesburg MM","Public Health","Male","37657","13143","50800"
"National","gauteng","Sedibeng DM","Private Health","Female","1607","1022","2629"
"National","gauteng","Sedibeng DM","Private Health","Male","1440","700","2140"
"National","gauteng","Sedibeng DM","Public Health","Female","13840","5924","19764"
"National","gauteng","Sedibeng DM","Public Health","Male","10885","4546","15431"
"National","gauteng","Tshwane MM","Private Health","Female","11575","6657","18232"
"National","gauteng","Tshwane MM","Private Health","Male","11019","6011","17030"
"National","gauteng","Tshwane MM","Public Health","Female","39893","18599","58492"
"National","gauteng","Tshwane MM","Public Health","Male","30807","13032","43839"
"National","gauteng","West Rand DM","Private Health","Female","2202","1516","3718"
"National","gauteng","West Rand DM","Private Health","Male","1827","1230","3057"
"National","gauteng","West Rand DM","Public Health","Female","17505","8802","26307"
"National","gauteng","West Rand DM","Public Health","Male","14327","6577","20904"
"National","kwazulu-natal","Amajuba DM","Private Health","Female","213","72","285"
"National","kwazulu-natal","Amajuba DM","Private Health","Male","184","57","241"
"National","kwazulu-natal","Amajuba DM","Public Health","Female","6569","2832","9401"
"National","kwazulu-natal","Amajuba DM","Public Health","Male","4235","1750","5985"
"National","kwazulu-natal","eThekwini MM","Private Health","Female","11883","7007","18890"
"National","kwazulu-natal","eThekwini MM","Private Health","Male","11043","6180","17223"
"National","kwazulu-natal","eThekwini MM","Public Health","Female","14443","5503","19946"
"National","kwazulu-natal","eThekwini MM","Public Health","Male","11772","4421","16193"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Female","361","167","528"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Male","346","136","482"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Female","13022","7750","20772"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Male","10191","5620","15811"
"National","kwazulu-natal","iLembe DM","Private Health","Female","549","334","883"
"National","kwazulu-natal","iLembe DM","Private Health","Male","484","280","764"
"National","kwazulu-natal","iLembe DM","Public Health","Female","8377","4160","12537"
"National","kwazulu-natal","iLembe DM","Public Health","Male","4944","2212","7156"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Female","331","135","466"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Male","310","95","405"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Female","12442","5072","17514"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Male","8069","3096","11165"
"National","kwazulu-natal","Ugu DM","Private Health","Female","900","558","1458"
"National","kwazulu-natal","Ugu DM","Private Health","Male","716","427","1143"
"National","kwazulu-natal","Ugu DM","Public Health","Female","12411","5121","17532"
"National","kwazulu-natal","Ugu DM","Public Health","Male","8008","2733","10741"
"National","kwazulu-natal","uMgungundlovu DM","Private Health","Female","1624","846","2470"
