"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","537827"
"kwazulu-natal","Private Health","1237822"
"western cape","Private Health","1923742"
"limpopo","Private Health","610667"
"northern cape","Public Health","612150"
"gauteng","Private Health","4581891"
"kwazulu-natal","Public Health","4681280"
"mpumalanga","","18"
"free state","Public Health","1872138"
"north west","Public Health","1792643"
"gauteng","Public Health","5860443"
"mpumalanga","Private Health","406793"
"mpumalanga","Public Health","1942910"
"western cape","","1"
"northern cape","Private Health","158308"
"eastern cape","Private Health","695085"
"western cape","Public Health","3692988"
"limpopo","Public Health","3164357"
"free state","Private Health","401540"
"eastern cape","Public Health","3577608"
