"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","152","37","189"
"National","eastern cape","Amathole DM","Private Health","Male","95","18","113"
"National","eastern cape","Amathole DM","Public Health","Female","14017","4861","18878"
"National","eastern cape","Amathole DM","Public Health","Male","11935","4033","15968"
"National","eastern cape","A Nzo DM","Public Health","Female","30587","15174","45761"
"National","eastern cape","A Nzo DM","Public Health","Male","26695","11465","38160"
"National","eastern cape","Buffalo City MM","Private Health","Female","2871","1183","4054"
"National","eastern cape","Buffalo City MM","Private Health","Male","2336","898","3234"
"National","eastern cape","Buffalo City MM","Public Health","Female","16199","9223","25422"
"National","eastern cape","Buffalo City MM","Public Health","Male","12587","6337","18924"
"National","eastern cape","C Hani DM","Private Health","Female","223","107","330"
"National","eastern cape","C Hani DM","Private Health","Male","159","78","237"
"National","eastern cape","C Hani DM","Public Health","Female","13941","3622","17563"
"National","eastern cape","C Hani DM","Public Health","Male","11212","2643","13855"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","660","366","1026"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","501","217","718"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7846","2716","10562"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","7025","2173","9198"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4107","2061","6168"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3709","1723","5432"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15624","6385","22009"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12174","4489","16663"
"National","eastern cape","O Tambo DM","Private Health","Female","314","122","436"
"National","eastern cape","O Tambo DM","Private Health","Male","253","112","365"
"National","eastern cape","O Tambo DM","Public Health","Female","43709","16847","60556"
"National","eastern cape","O Tambo DM","Public Health","Male","36527","12498","49025"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1584","1087","2671"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1375","822","2197"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9617","5370","14987"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8080","3991","12071"
"National","free state","Fezile Dabi DM","Private Health","Female","471","342","813"
"National","free state","Fezile Dabi DM","Private Health","Male","449","286","735"
"National","free state","Fezile Dabi DM","Public Health","Female","13266","5023","18289"
"National","free state","Fezile Dabi DM","Public Health","Male","10805","3641","14446"
"National","free state","Lejweleputswa DM","Private Health","Female","3806","1463","5269"
"National","free state","Lejweleputswa DM","Private Health","Male","3043","1102","4145"
"National","free state","Lejweleputswa DM","Public Health","Female","14121","5268","19389"
"National","free state","Lejweleputswa DM","Public Health","Male","12102","3708","15810"
"National","free state","Mangaung MM","Private Health","Female","2954","1795","4749"
"National","free state","Mangaung MM","Private Health","Male","2427","1369","3796"
"National","free state","Mangaung MM","Public Health","Female","23549","13886","37435"
"National","free state","Mangaung MM","Public Health","Male","21040","11208","32248"
"National","free state","T Mofutsanyana DM","Private Health","Female","1862","1134","2996"
"National","free state","T Mofutsanyana DM","Private Health","Male","1592","923","2515"
"National","free state","T Mofutsanyana DM","Public Health","Female","26916","15452","42368"
"National","free state","T Mofutsanyana DM","Public Health","Male","23113","11618","34731"
"National","free state","Xhariep DM","Public Health","Female","4275","1188","5463"
"National","free state","Xhariep DM","Public Health","Male","3504","798","4302"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10867","6626","17493"
"National","gauteng","Ekurhuleni MM","Private Health","Male","10020","5636","15656"
