"vaccine_manufacturer","province","district","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Amathole DM","Adults","102845"
"Janssen Vaccines & Prevention B.V","eastern cape","A Nzo DM","Adults","119870"
"Janssen Vaccines & Prevention B.V","eastern cape","Buffalo City MM","Adults","72134"
"Janssen Vaccines & Prevention B.V","eastern cape","C Hani DM","Adults","107526"
"Janssen Vaccines & Prevention B.V","eastern cape","Joe Gqabi DM","Adults","51398"
"Janssen Vaccines & Prevention B.V","eastern cape","N Mandela Bay MM","Adults","165717"
"Janssen Vaccines & Prevention B.V","eastern cape","O Tambo DM","Adults","211925"
"Janssen Vaccines & Prevention B.V","eastern cape","Sarah Baartman DM","Adults","90803"
"Janssen Vaccines & Prevention B.V","free state","Fezile Dabi DM","Adults","81263"
"Janssen Vaccines & Prevention B.V","free state","Lejweleputswa DM","Adults","76005"
"Janssen Vaccines & Prevention B.V","free state","Mangaung MM","Adults","153574"
"Janssen Vaccines & Prevention B.V","free state","T Mofutsanyana DM","Adults","144765"
"Janssen Vaccines & Prevention B.V","free state","Xhariep DM","Adults","33365"
"Janssen Vaccines & Prevention B.V","gauteng","Ekurhuleni MM","Adults","326073"
"Janssen Vaccines & Prevention B.V","gauteng","Johannesburg MM","Adults","558890"
"Janssen Vaccines & Prevention B.V","gauteng","Sedibeng DM","Adults","102684"
"Janssen Vaccines & Prevention B.V","gauteng","Tshwane MM","Adults","468569"
"Janssen Vaccines & Prevention B.V","gauteng","West Rand DM","Adults","107851"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Amajuba DM","Adults","80063"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","eThekwini MM","Adults","344488"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Harry Gwala DM","Adults","58742"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","iLembe DM","Adults","63789"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","King Cetshwayo DM","Adults","102838"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Ugu DM","Adults","67777"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","uMgungundlovu DM","Adults","141506"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umkhanyakude DM","Adults","102703"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umzinyathi DM","Adults","97567"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Uthukela DM","Adults","96917"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Zululand DM","Adults","98882"
"Janssen Vaccines & Prevention B.V","limpopo","Capricorn DM","Adults","274848"
"Janssen Vaccines & Prevention B.V","limpopo","Mopani DM","Adults","245286"
"Janssen Vaccines & Prevention B.V","limpopo","Sekhukhune DM","Adults","186776"
"Janssen Vaccines & Prevention B.V","limpopo","Vhembe DM","Adults","244401"
"Janssen Vaccines & Prevention B.V","limpopo","Waterberg DM","Adults","136550"
"Janssen Vaccines & Prevention B.V","mpumalanga","Ehlanzeni DM","Adults","415470"
"Janssen Vaccines & Prevention B.V","mpumalanga","G Sibande DM","Adults","189236"
"Janssen Vaccines & Prevention B.V","mpumalanga","Nkangala DM","Adults","232376"
"Janssen Vaccines & Prevention B.V","northern cape","Frances Baard DM","Adults","71919"
"Janssen Vaccines & Prevention B.V","northern cape","J T Gaetsewe DM","Adults","41697"
"Janssen Vaccines & Prevention B.V","northern cape","Namakwa DM","Adults","16377"
"Janssen Vaccines & Prevention B.V","northern cape","Pixley ka Seme DM","Adults","28251"
"Janssen Vaccines & Prevention B.V","northern cape","ZF Mgcawu DM","Adults","59157"
"Janssen Vaccines & Prevention B.V","north west","Bojanala Platinum DM","Adults","296262"
"Janssen Vaccines & Prevention B.V","north west","Dr K Kaunda DM","Adults","109365"
"Janssen Vaccines & Prevention B.V","north west","Ngaka Modiri Molema DM","Adults","201097"
"Janssen Vaccines & Prevention B.V","north west","Ruth Segomotsi Mompati DM","Adults","110560"
"Janssen Vaccines & Prevention B.V","western cape","Cape Town MM","Adults","433620"
"Janssen Vaccines & Prevention B.V","western cape","Cape Winelands DM","Adults","121611"
"Janssen Vaccines & Prevention B.V","western cape","Central Karoo DM","Adults","6836"
"Janssen Vaccines & Prevention B.V","western cape","Garden Route DM","Adults","78044"
"Janssen Vaccines & Prevention B.V","western cape","Overberg DM","Adults","47509"
"Janssen Vaccines & Prevention B.V","western cape","West Coast DM","Adults","68641"
"Pfizer","eastern cape","Amathole DM","12-17 Years","8949"
"Pfizer","eastern cape","Amathole DM","Adults","148588"
"Pfizer","eastern cape","A Nzo DM","12-17 Years","26639"
"Pfizer","eastern cape","A Nzo DM","Adults","103085"
"Pfizer","eastern cape","Buffalo City MM","12-17 Years","17641"
"Pfizer","eastern cape","Buffalo City MM","Adults","212583"
"Pfizer","eastern cape","C Hani DM","12-17 Years","6450"
"Pfizer","eastern cape","C Hani DM","Adults","118873"
"Pfizer","eastern cape","Joe Gqabi DM","12-17 Years","5472"
"Pfizer","eastern cape","Joe Gqabi DM","Adults","56016"
"Pfizer","eastern cape","N Mandela Bay MM","12-17 Years","14658"
"Pfizer","eastern cape","N Mandela Bay MM","Adults","276021"
"Pfizer","eastern cape","O Tambo DM","12-17 Years","29579"
"Pfizer","eastern cape","O Tambo DM","Adults","136591"
"Pfizer","eastern cape","Sarah Baartman DM","12-17 Years","11270"
"Pfizer","eastern cape","Sarah Baartman DM","Adults","93479"
"Pfizer","free state","Fezile Dabi DM","12-17 Years","9292"
"Pfizer","free state","Fezile Dabi DM","Adults","93852"
"Pfizer","free state","Lejweleputswa DM","12-17 Years","11541"
"Pfizer","free state","Lejweleputswa DM","Adults","153902"
"Pfizer","free state","Mangaung MM","12-17 Years","28258"
"Pfizer","free state","Mangaung MM","Adults","201541"
"Pfizer","free state","T Mofutsanyana DM","12-17 Years","29127"
"Pfizer","free state","T Mofutsanyana DM","Adults","137558"
"Pfizer","free state","Xhariep DM","12-17 Years","1986"
"Pfizer","free state","Xhariep DM","Adults","14238"
"Pfizer","gauteng","Ekurhuleni MM","12-17 Years","38763"
"Pfizer","gauteng","Ekurhuleni MM","Adults","806907"
"Pfizer","gauteng","Johannesburg MM","12-17 Years","55756"
"Pfizer","gauteng","Johannesburg MM","Adults","1492369"
"Pfizer","gauteng","Sedibeng DM","12-17 Years","12188"
"Pfizer","gauteng","Sedibeng DM","Adults","155101"
"Pfizer","gauteng","Tshwane MM","12-17 Years","44287"
"Pfizer","gauteng","Tshwane MM","Adults","730507"
"Pfizer","gauteng","West Rand DM","12-17 Years","18118"
"Pfizer","gauteng","West Rand DM","Adults","234514"
"Pfizer","kwazulu-natal","Amajuba DM","12-17 Years","4710"
"Pfizer","kwazulu-natal","Amajuba DM","Adults","49973"
"Pfizer","kwazulu-natal","eThekwini MM","12-17 Years","23124"
"Pfizer","kwazulu-natal","eThekwini MM","Adults","769726"
"Pfizer","kwazulu-natal","Harry Gwala DM","12-17 Years","13666"
"Pfizer","kwazulu-natal","Harry Gwala DM","Adults","68224"
"Pfizer","kwazulu-natal","iLembe DM","12-17 Years","6984"
"Pfizer","kwazulu-natal","iLembe DM","Adults","98775"
"Pfizer","kwazulu-natal","King Cetshwayo DM","12-17 Years","8394"
"Pfizer","kwazulu-natal","King Cetshwayo DM","Adults","92738"
"Pfizer","kwazulu-natal","Ugu DM","12-17 Years","8866"
"Pfizer","kwazulu-natal","Ugu DM","Adults","134567"
"Pfizer","kwazulu-natal","uMgungundlovu DM","12-17 Years","9588"
"Pfizer","kwazulu-natal","uMgungundlovu DM","Adults","213417"
"Pfizer","kwazulu-natal","Umkhanyakude DM","12-17 Years","15740"
"Pfizer","kwazulu-natal","Umkhanyakude DM","Adults","58822"
"Pfizer","kwazulu-natal","Umzinyathi DM","12-17 Years","9833"
"Pfizer","kwazulu-natal","Umzinyathi DM","Adults","42709"
"Pfizer","kwazulu-natal","Uthukela DM","12-17 Years","11155"
"Pfizer","kwazulu-natal","Uthukela DM","Adults","57614"
"Pfizer","kwazulu-natal","Zululand DM","12-17 Years","21068"
"Pfizer","kwazulu-natal","Zululand DM","Adults","84461"
"Pfizer","limpopo","Capricorn DM","12-17 Years","26686"
"Pfizer","limpopo","Capricorn DM","Adults","193762"
"Pfizer","limpopo","Mopani DM","12-17 Years","21795"
"Pfizer","limpopo","Mopani DM","Adults","176505"
"Pfizer","limpopo","Sekhukhune DM","12-17 Years","18467"
"Pfizer","limpopo","Sekhukhune DM","Adults","143193"
"Pfizer","limpopo","Vhembe DM","12-17 Years","21634"
"Pfizer","limpopo","Vhembe DM","Adults","204066"
"Pfizer","limpopo","Waterberg DM","12-17 Years","12097"
"Pfizer","limpopo","Waterberg DM","Adults","170744"
"Pfizer","mpumalanga","Ehlanzeni DM","12-17 Years","31430"
"Pfizer","mpumalanga","Ehlanzeni DM","Adults","200792"
"Pfizer","mpumalanga","G Sibande DM","12-17 Years","10542"
"Pfizer","mpumalanga","G Sibande DM","Adults","138071"
"Pfizer","mpumalanga","Nkangala DM","12-17 Years","12231"
"Pfizer","mpumalanga","Nkangala DM","Adults","142162"
"Pfizer","northern cape","Frances Baard DM","12-17 Years","6263"
"Pfizer","northern cape","Frances Baard DM","Adults","69597"
"Pfizer","northern cape","J T Gaetsewe DM","12-17 Years","2310"
"Pfizer","northern cape","J T Gaetsewe DM","Adults","35613"
"Pfizer","northern cape","Namakwa DM","12-17 Years","1178"
"Pfizer","northern cape","Namakwa DM","Adults","26242"
"Pfizer","northern cape","Pixley ka Seme DM","12-17 Years","2755"
"Pfizer","northern cape","Pixley ka Seme DM","Adults","26085"
"Pfizer","northern cape","ZF Mgcawu DM","12-17 Years","2740"
"Pfizer","northern cape","ZF Mgcawu DM","Adults","38252"
"Pfizer","north west","Bojanala Platinum DM","12-17 Years","23422"
"Pfizer","north west","Bojanala Platinum DM","Adults","275237"
"Pfizer","north west","Dr K Kaunda DM","12-17 Years","8987"
"Pfizer","north west","Dr K Kaunda DM","Adults","138140"
"Pfizer","north west","Ngaka Modiri Molema DM","12-17 Years","12950"
"Pfizer","north west","Ngaka Modiri Molema DM","Adults","95554"
"Pfizer","north west","Ruth Segomotsi Mompati DM","12-17 Years","7056"
"Pfizer","north west","Ruth Segomotsi Mompati DM","Adults","35210"
