"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","523856"
"kwazulu-natal","Private Health","1204933"
"western cape","Private Health","1870746"
"limpopo","Private Health","584077"
"northern cape","Public Health","563765"
"gauteng","Private Health","4437572"
"kwazulu-natal","Public Health","4380535"
"free state","Public Health","1772236"
"north west","Public Health","1718448"
"gauteng","Public Health","5628537"
"mpumalanga","Private Health","390775"
"mpumalanga","Public Health","1784766"
"northern cape","Private Health","153201"
"eastern cape","Private Health","673909"
"western cape","Public Health","3585528"
"limpopo","Public Health","2978370"
"free state","Private Health","386625"
"eastern cape","Public Health","3321389"
