"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","902514"
"Janssen Vaccines & Prevention B.V","free state","Adults","479976"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1506224"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1212056"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1063681"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","800122"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","211290"
"Janssen Vaccines & Prevention B.V","north west","Adults","704256"
"Janssen Vaccines & Prevention B.V","western cape","Adults","738954"
"Pfizer","eastern cape","12-17 Years","80007"
"Pfizer","eastern cape","Adults","1099353"
"Pfizer","free state","12-17 Years","71354"
"Pfizer","free state","Adults","577634"
"Pfizer","gauteng","12-17 Years","158311"
"Pfizer","gauteng","Adults","3325863"
"Pfizer","kwazulu-natal","12-17 Years","101155"
"Pfizer","kwazulu-natal","Adults","1600185"
"Pfizer","limpopo","12-17 Years","78148"
"Pfizer","limpopo","Adults","858975"
"Pfizer","mpumalanga","12-17 Years","38957"
"Pfizer","mpumalanga","Adults","457195"
"Pfizer","northern cape","12-17 Years","9389"
"Pfizer","northern cape","Adults","188176"
"Pfizer","north west","12-17 Years","47869"
"Pfizer","north west","Adults","528143"
"Pfizer","western cape","12-17 Years","50110"
"Pfizer","western cape","Adults","1839620"
