"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","10"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","3"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","5"
"Janssen Vaccines & Prevention B.V","north west","Adults","26"
"Pfizer","gauteng","12-17 Years","0"
"Pfizer","gauteng","Adults","7"
"Pfizer","kwazulu-natal","Adults","3"
"Pfizer","limpopo","12-17 Years","1"
"Pfizer","limpopo","Adults","1"
"Pfizer","mpumalanga","12-17 Years","2"
"Pfizer","north west","12-17 Years","4"
"Pfizer","north west","Adults","32"
