"vaccine_manufacturer","province","district","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Amathole DM","Adults","103029"
"Janssen Vaccines & Prevention B.V","eastern cape","A Nzo DM","Adults","119962"
"Janssen Vaccines & Prevention B.V","eastern cape","Buffalo City MM","Adults","72213"
"Janssen Vaccines & Prevention B.V","eastern cape","C Hani DM","Adults","107608"
"Janssen Vaccines & Prevention B.V","eastern cape","Joe Gqabi DM","Adults","51449"
"Janssen Vaccines & Prevention B.V","eastern cape","N Mandela Bay MM","Adults","165978"
"Janssen Vaccines & Prevention B.V","eastern cape","O Tambo DM","Adults","212223"
"Janssen Vaccines & Prevention B.V","eastern cape","Sarah Baartman DM","Adults","90890"
"Janssen Vaccines & Prevention B.V","free state","Fezile Dabi DM","Adults","81315"
"Janssen Vaccines & Prevention B.V","free state","Lejweleputswa DM","Adults","76071"
"Janssen Vaccines & Prevention B.V","free state","Mangaung MM","Adults","153665"
"Janssen Vaccines & Prevention B.V","free state","T Mofutsanyana DM","Adults","144819"
"Janssen Vaccines & Prevention B.V","free state","Xhariep DM","Adults","33418"
"Janssen Vaccines & Prevention B.V","gauteng","Ekurhuleni MM","Adults","327917"
"Janssen Vaccines & Prevention B.V","gauteng","Johannesburg MM","Adults","561038"
"Janssen Vaccines & Prevention B.V","gauteng","Sedibeng DM","Adults","102835"
"Janssen Vaccines & Prevention B.V","gauteng","Tshwane MM","Adults","469351"
"Janssen Vaccines & Prevention B.V","gauteng","West Rand DM","Adults","108081"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Amajuba DM","Adults","80167"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","eThekwini MM","Adults","345824"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Harry Gwala DM","Adults","58803"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","iLembe DM","Adults","63987"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","King Cetshwayo DM","Adults","102895"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Ugu DM","Adults","67819"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","uMgungundlovu DM","Adults","141840"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umkhanyakude DM","Adults","102822"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Umzinyathi DM","Adults","97616"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Uthukela DM","Adults","97074"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Zululand DM","Adults","98913"
"Janssen Vaccines & Prevention B.V","limpopo","Capricorn DM","Adults","275392"
"Janssen Vaccines & Prevention B.V","limpopo","Mopani DM","Adults","245675"
"Janssen Vaccines & Prevention B.V","limpopo","Sekhukhune DM","Adults","187185"
"Janssen Vaccines & Prevention B.V","limpopo","Vhembe DM","Adults","245015"
"Janssen Vaccines & Prevention B.V","limpopo","Waterberg DM","Adults","136840"
"Janssen Vaccines & Prevention B.V","mpumalanga","Ehlanzeni DM","Adults","416744"
"Janssen Vaccines & Prevention B.V","mpumalanga","G Sibande DM","Adults","189555"
"Janssen Vaccines & Prevention B.V","mpumalanga","Nkangala DM","Adults","232649"
"Janssen Vaccines & Prevention B.V","northern cape","Frances Baard DM","Adults","71958"
"Janssen Vaccines & Prevention B.V","northern cape","J T Gaetsewe DM","Adults","41858"
"Janssen Vaccines & Prevention B.V","northern cape","Namakwa DM","Adults","16381"
"Janssen Vaccines & Prevention B.V","northern cape","Pixley ka Seme DM","Adults","28274"
