"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538309"
"kwazulu-natal","Private Health","1238272"
"western cape","Private Health","1924239"
"limpopo","Private Health","611434"
"northern cape","Public Health","614970"
"gauteng","Private Health","4586224"
"kwazulu-natal","Public Health","4693271"
"mpumalanga","","20"
"free state","Public Health","1876389"
"north west","Public Health","1798774"
"gauteng","Public Health","5878201"
"mpumalanga","Private Health","406894"
"mpumalanga","Public Health","1953243"
"western cape","","2"
"northern cape","Private Health","158416"
"eastern cape","Private Health","695403"
"western cape","Public Health","3701113"
"limpopo","Public Health","3179497"
"free state","Private Health","402036"
"eastern cape","Public Health","3599967"
