"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","923352"
"eastern cape","Pfizer","1364705"
"free state","Johnson & Johnson","489288"
"free state","Pfizer","685634"
"gauteng","Johnson & Johnson","1569218"
"gauteng","Pfizer","3951718"
"kwazulu-natal","Johnson & Johnson","1257758"
"kwazulu-natal","Pfizer","2012588"
"limpopo","Johnson & Johnson","1090107"
"limpopo","Pfizer","1062371"
"mpumalanga","Johnson & Johnson","838948"
"mpumalanga","Pfizer","586722"
"northern cape","Johnson & Johnson","217922"
"northern cape","Pfizer","230022"
"north west","Johnson & Johnson","718444"
"north west","Pfizer","631906"
"western cape","Johnson & Johnson","757703"
"western cape","Pfizer","2136925"
