"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","152","36","188"
"National","eastern cape","Amathole DM","Private Health","Male","93","18","111"
"National","eastern cape","Amathole DM","Public Health","Female","14332","5343","19675"
"National","eastern cape","Amathole DM","Public Health","Male","12237","4411","16648"
"National","eastern cape","A Nzo DM","Public Health","Female","31951","16431","48382"
"National","eastern cape","A Nzo DM","Public Health","Male","28159","12734","40893"
"National","eastern cape","Buffalo City MM","Private Health","Female","2830","1161","3991"
"National","eastern cape","Buffalo City MM","Private Health","Male","2306","891","3197"
"National","eastern cape","Buffalo City MM","Public Health","Female","16383","9484","25867"
"National","eastern cape","Buffalo City MM","Public Health","Male","12903","6625","19528"
"National","eastern cape","C Hani DM","Private Health","Female","220","106","326"
"National","eastern cape","C Hani DM","Private Health","Male","155","76","231"
"National","eastern cape","C Hani DM","Public Health","Female","13825","3614","17439"
"National","eastern cape","C Hani DM","Public Health","Male","11122","2634","13756"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","654","363","1017"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","493","216","709"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7846","2719","10565"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","7017","2197","9214"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4060","2040","6100"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3675","1710","5385"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15732","6461","22193"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12236","4580","16816"
"National","eastern cape","O Tambo DM","Private Health","Female","308","119","427"
"National","eastern cape","O Tambo DM","Private Health","Male","245","112","357"
"National","eastern cape","O Tambo DM","Public Health","Female","43804","16996","60800"
"National","eastern cape","O Tambo DM","Public Health","Male","36731","12695","49426"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1569","1079","2648"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1366","818","2184"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9618","5379","14997"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8071","4007","12078"
"National","free state","Fezile Dabi DM","Private Health","Female","471","341","812"
"National","free state","Fezile Dabi DM","Private Health","Male","448","285","733"
"National","free state","Fezile Dabi DM","Public Health","Female","13170","5014","18184"
"National","free state","Fezile Dabi DM","Public Health","Male","10763","3637","14400"
"National","free state","Lejweleputswa DM","Private Health","Female","3759","1448","5207"
"National","free state","Lejweleputswa DM","Private Health","Male","3005","1087","4092"
"National","free state","Lejweleputswa DM","Public Health","Female","14047","5293","19340"
"National","free state","Lejweleputswa DM","Public Health","Male","12053","3730","15783"
"National","free state","Mangaung MM","Private Health","Female","2959","1919","4878"
"National","free state","Mangaung MM","Private Health","Male","2431","1452","3883"
"National","free state","Mangaung MM","Public Health","Female","23436","13874","37310"
"National","free state","Mangaung MM","Public Health","Male","20917","11205","32122"
"National","free state","T Mofutsanyana DM","Private Health","Female","1840","1120","2960"
"National","free state","T Mofutsanyana DM","Private Health","Male","1578","911","2489"
"National","free state","T Mofutsanyana DM","Public Health","Female","26765","15450","42215"
"National","free state","T Mofutsanyana DM","Public Health","Male","22998","11645","34643"
"National","free state","Xhariep DM","Public Health","Female","4252","1194","5446"
"National","free state","Xhariep DM","Public Health","Male","3480","814","4294"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10750","6553","17303"
"National","gauteng","Ekurhuleni MM","Private Health","Male","9923","5600","15523"
"National","gauteng","Ekurhuleni MM","Public Health","Female","40702","15260","55962"
"National","gauteng","Ekurhuleni MM","Public Health","Male","32236","11179","43415"
"National","gauteng","Johannesburg MM","Private Health","Female","25275","13675","38950"
"National","gauteng","Johannesburg MM","Private Health","Male","23079","11886","34965"
"National","gauteng","Johannesburg MM","Public Health","Female","46216","16782","62998"
"National","gauteng","Johannesburg MM","Public Health","Male","37448","13113","50561"
"National","gauteng","Sedibeng DM","Private Health","Female","1583","1009","2592"
"National","gauteng","Sedibeng DM","Private Health","Male","1420","690","2110"
"National","gauteng","Sedibeng DM","Public Health","Female","13727","5882","19609"
"National","gauteng","Sedibeng DM","Public Health","Male","10831","4529","15360"
"National","gauteng","Tshwane MM","Private Health","Female","11456","6592","18048"
"National","gauteng","Tshwane MM","Private Health","Male","10893","5967","16860"
"National","gauteng","Tshwane MM","Public Health","Female","39894","18596","58490"
"National","gauteng","Tshwane MM","Public Health","Male","30829","13078","43907"
"National","gauteng","West Rand DM","Private Health","Female","2172","1501","3673"
"National","gauteng","West Rand DM","Private Health","Male","1812","1225","3037"
"National","gauteng","West Rand DM","Public Health","Female","17414","8800","26214"
"National","gauteng","West Rand DM","Public Health","Male","14256","6579","20835"
"National","kwazulu-natal","Amajuba DM","Private Health","Female","210","71","281"
"National","kwazulu-natal","Amajuba DM","Private Health","Male","184","57","241"
"National","kwazulu-natal","Amajuba DM","Public Health","Female","6513","2821","9334"
"National","kwazulu-natal","Amajuba DM","Public Health","Male","4205","1739","5944"
"National","kwazulu-natal","eThekwini MM","Private Health","Female","11731","6896","18627"
"National","kwazulu-natal","eThekwini MM","Private Health","Male","10941","6129","17070"
"National","kwazulu-natal","eThekwini MM","Public Health","Female","14444","5534","19978"
"National","kwazulu-natal","eThekwini MM","Public Health","Male","11777","4430","16207"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Female","356","165","521"
