"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","50"
"Janssen Vaccines & Prevention B.V","free state","Adults","33"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","266"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","101"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","81"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","100"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","7"
"Janssen Vaccines & Prevention B.V","north west","Adults","34"
"Janssen Vaccines & Prevention B.V","western cape","Adults","58"
"Pfizer","eastern cape","12-17 Years","389"
"Pfizer","eastern cape","Adults","272"
"Pfizer","free state","12-17 Years","61"
"Pfizer","free state","Adults","102"
"Pfizer","gauteng","12-17 Years","61"
"Pfizer","gauteng","Adults","301"
"Pfizer","kwazulu-natal","12-17 Years","76"
"Pfizer","kwazulu-natal","Adults","147"
"Pfizer","limpopo","12-17 Years","164"
"Pfizer","limpopo","Adults","98"
"Pfizer","mpumalanga","12-17 Years","118"
"Pfizer","mpumalanga","Adults","92"
"Pfizer","northern cape","12-17 Years","9"
"Pfizer","northern cape","Adults","8"
"Pfizer","north west","12-17 Years","3"
"Pfizer","north west","Adults","31"
"Pfizer","western cape","12-17 Years","77"
"Pfizer","western cape","Adults","88"
