"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","43"
"eastern cape","Public Health","1574"
"free state","Private Health","18"
"free state","Public Health","551"
"gauteng","Private Health","538"
"gauteng","Public Health","929"
"kwazulu-natal","Private Health","75"
"kwazulu-natal","Public Health","632"
"limpopo","Private Health","285"
"limpopo","Public Health","663"
"mpumalanga","Private Health","32"
"mpumalanga","Public Health","603"
"northern cape","Private Health","14"
"northern cape","Public Health","40"
"north west","Private Health","47"
"north west","Public Health","125"
"western cape","Private Health","125"
"western cape","Public Health","467"
