"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","50","0","83","133"
"Janssen Vaccines & Prevention B.V","free state","Adults","33","0","105","138"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","266","0","205","471"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","101","0","96","197"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","81","0","188","269"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","100","0","116","216"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","7","0","6","13"
"Janssen Vaccines & Prevention B.V","north west","Adults","34","0","42","76"
"Janssen Vaccines & Prevention B.V","western cape","Adults","58","0","61","119"
"Pfizer","eastern cape","12-17 Years","364","389","0","753"
"Pfizer","eastern cape","Adults","173","272","286","731"
"Pfizer","free state","12-17 Years","51","61","0","112"
"Pfizer","free state","Adults","51","102","166","319"
"Pfizer","gauteng","12-17 Years","53","61","0","114"
"Pfizer","gauteng","Adults","251","301","330","882"
"Pfizer","kwazulu-natal","12-17 Years","47","76","0","123"
"Pfizer","kwazulu-natal","Adults","93","147","147","387"
"Pfizer","limpopo","12-17 Years","202","164","0","366"
"Pfizer","limpopo","Adults","100","98","115","313"
"Pfizer","mpumalanga","12-17 Years","64","118","0","182"
"Pfizer","mpumalanga","Adults","83","92","62","237"
"Pfizer","northern cape","12-17 Years","3","9","0","12"
"Pfizer","northern cape","Adults","11","8","10","29"
"Pfizer","north west","12-17 Years","16","3","0","19"
"Pfizer","north west","Adults","17","31","29","77"
"Pfizer","western cape","12-17 Years","83","77","0","160"
"Pfizer","western cape","Adults","69","88","156","313"
