"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","112","0","131","243"
"Janssen Vaccines & Prevention B.V","free state","Adults","14","0","27","41"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","387","0","178","565"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","126","0","130","256"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","115","0","74","189"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","84","0","106","190"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","25","0","46","71"
"Janssen Vaccines & Prevention B.V","north west","Adults","86","0","122","208"
"Janssen Vaccines & Prevention B.V","western cape","Adults","125","0","61","186"
"Pfizer","eastern cape","12-17 Years","263","222","0","485"
"Pfizer","eastern cape","Adults","277","339","386","1002"
"Pfizer","free state","12-17 Years","5","4","0","9"
"Pfizer","free state","Adults","27","45","80","152"
"Pfizer","gauteng","12-17 Years","33","31","0","64"
"Pfizer","gauteng","Adults","307","248","332","887"
"Pfizer","kwazulu-natal","12-17 Years","23","23","0","46"
"Pfizer","kwazulu-natal","Adults","126","155","111","392"
"Pfizer","limpopo","12-17 Years","207","60","0","267"
"Pfizer","limpopo","Adults","130","137","124","391"
"Pfizer","mpumalanga","12-17 Years","37","42","0","79"
"Pfizer","mpumalanga","Adults","30","86","25","141"
"Pfizer","northern cape","12-17 Years","11","14","0","25"
"Pfizer","northern cape","Adults","63","56","39","158"
"Pfizer","north west","12-17 Years","16","39","0","55"
"Pfizer","north west","Adults","102","79","106","287"
"Pfizer","western cape","12-17 Years","12","10","0","22"
"Pfizer","western cape","Adults","113","97","151","361"
