"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","14"
"eastern cape","Public Health","1716"
"free state","Private Health","8"
"free state","Public Health","194"
"gauteng","Private Health","196"
"gauteng","Public Health","1320"
"kwazulu-natal","Private Health","29"
"kwazulu-natal","Public Health","665"
"limpopo","Private Health","91"
"limpopo","Public Health","756"
"mpumalanga","Private Health","1"
"mpumalanga","Public Health","408"
"mpumalanga","","1"
"northern cape","Private Health","9"
"northern cape","Public Health","245"
"north west","Private Health","28"
"north west","Public Health","522"
"western cape","Private Health","33"
"western cape","Public Health","536"
