"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","376"
"eastern cape","Public Health","476"
"free state","Private Health","137"
"free state","Public Health","218"
"gauteng","Private Health","2705"
"gauteng","Public Health","1867"
"kwazulu-natal","Private Health","973"
"kwazulu-natal","Public Health","1050"
"limpopo","Private Health","449"
"limpopo","Public Health","370"
"mpumalanga","Private Health","87"
"mpumalanga","Public Health","394"
"northern cape","Private Health","50"
"north west","Private Health","191"
"north west","Public Health","930"
"western cape","Private Health","863"
"western cape","Public Health","191"
