"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","333"
"eastern cape","Public Health","344"
"free state","Private Health","173"
"free state","Public Health","283"
"gauteng","Private Health","3043"
"gauteng","Public Health","1622"
"kwazulu-natal","Private Health","1183"
"kwazulu-natal","Public Health","1003"
"limpopo","Private Health","359"
"limpopo","Public Health","317"
"mpumalanga","Private Health","197"
"mpumalanga","Public Health","288"
"northern cape","Private Health","49"
"northern cape","Public Health","72"
"north west","Private Health","133"
"north west","Public Health","1016"
"western cape","Private Health","890"
"western cape","Public Health","191"
