"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","91"
"Janssen Vaccines & Prevention B.V","free state","Adults","0"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","152"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","55"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","6"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","7"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","7"
"Janssen Vaccines & Prevention B.V","north west","Adults","143"
"Janssen Vaccines & Prevention B.V","western cape","Adults","1"
"Pfizer","eastern cape","12-17 Years","1"
"Pfizer","eastern cape","Adults","80"
"Pfizer","free state","Adults","1"
"Pfizer","gauteng","12-17 Years","40"
"Pfizer","gauteng","Adults","110"
"Pfizer","kwazulu-natal","12-17 Years","40"
"Pfizer","kwazulu-natal","Adults","96"
"Pfizer","limpopo","12-17 Years","12"
"Pfizer","limpopo","Adults","21"
"Pfizer","mpumalanga","12-17 Years","1"
"Pfizer","mpumalanga","Adults","2"
"Pfizer","northern cape","12-17 Years","3"
"Pfizer","northern cape","Adults","14"
"Pfizer","north west","12-17 Years","81"
"Pfizer","north west","Adults","153"
"Pfizer","western cape","12-17 Years","0"
"Pfizer","western cape","Adults","8"
