"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","39"
"eastern cape","Public Health","393"
"free state","Private Health","9"
"gauteng","Private Health","116"
"gauteng","Public Health","678"
"kwazulu-natal","Private Health","73"
"kwazulu-natal","Public Health","481"
"limpopo","Private Health","29"
"limpopo","Public Health","184"
"mpumalanga","Private Health","11"
"mpumalanga","Public Health","27"
"northern cape","Private Health","64"
"north west","Private Health","2"
"north west","Public Health","1104"
"western cape","Private Health","23"
"western cape","Public Health","22"
