"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","3"
"eastern cape","Public Health","2214"
"free state","Private Health","16"
"free state","Public Health","269"
"gauteng","Private Health","237"
"gauteng","Public Health","1446"
"kwazulu-natal","Private Health","25"
"kwazulu-natal","Public Health","817"
"limpopo","Private Health","53"
"limpopo","Public Health","902"
"mpumalanga","Private Health","3"
"mpumalanga","Public Health","598"
"mpumalanga","","1"
"northern cape","Private Health","1"
"northern cape","Public Health","210"
"north west","Private Health","16"
"north west","Public Health","515"
"western cape","Private Health","31"
"western cape","Public Health","583"
