"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","22"
"eastern cape","Public Health","1676"
"free state","Private Health","74"
"free state","Public Health","328"
"gauteng","Private Health","152"
"gauteng","Public Health","1072"
"gauteng","","1"
"kwazulu-natal","Private Health","18"
"kwazulu-natal","Public Health","737"
"limpopo","Private Health","90"
"limpopo","Public Health","574"
"mpumalanga","Private Health","17"
"mpumalanga","Public Health","708"
"northern cape","Private Health","17"
"northern cape","Public Health","213"
"north west","Private Health","18"
"north west","Public Health","295"
"western cape","Private Health","29"
"western cape","Public Health","484"
