"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","33"
"eastern cape","Public Health","1942"
"free state","Private Health","48"
"free state","Public Health","541"
"gauteng","Private Health","335"
"gauteng","Public Health","1125"
"kwazulu-natal","Private Health","84"
"kwazulu-natal","Public Health","990"
"limpopo","Private Health","104"
"limpopo","Public Health","1053"
"mpumalanga","Private Health","28"
"mpumalanga","Public Health","829"
"northern cape","Private Health","9"
"northern cape","Public Health","85"
"north west","Private Health","47"
"north west","Public Health","169"
"western cape","Private Health","160"
"western cape","Public Health","600"
