"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538514"
"kwazulu-natal","Private Health","1238485"
"western cape","Private Health","1924647"
"limpopo","Private Health","612038"
"northern cape","Public Health","617169"
"gauteng","Private Health","4588621"
"kwazulu-natal","Public Health","4699781"
"mpumalanga","","22"
"free state","Public Health","1878617"
"north west","Public Health","1803394"
"gauteng","Public Health","5889928"
"mpumalanga","Private Health","406918"
"mpumalanga","Public Health","1958268"
"western cape","","3"
"northern cape","Private Health","158473"
"eastern cape","Private Health","695507"
"western cape","Public Health","3706130"
"limpopo","Public Health","3188142"
"limpopo","","2"
"free state","Private Health","402204"
"eastern cape","Public Health","3615657"
