"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","890137"
"eastern cape","Pfizer","1302208"
"free state","Johnson & Johnson","474403"
"free state","Pfizer","654035"
"gauteng","Johnson & Johnson","1480747"
"gauteng","Pfizer","3817359"
"kwazulu-natal","Johnson & Johnson","1191600"
"kwazulu-natal","Pfizer","1906131"
"limpopo","Johnson & Johnson","1050984"
"limpopo","Pfizer","1013258"
"mpumalanga","Johnson & Johnson","785154"
"mpumalanga","Pfizer","550362"
"northern cape","Johnson & Johnson","208971"
"northern cape","Pfizer","217764"
"north west","Johnson & Johnson","696274"
"north west","Pfizer","605168"
"western cape","Johnson & Johnson","731692"
"western cape","Pfizer","2087446"
