"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10681","4824","15505"
"National","eastern cape","Private Health","Male","8881","3674","12555"
"National","eastern cape","Public Health","Female","121841","29315","151156"
"National","eastern cape","Public Health","Male","97712","19304","117016"
"National","free state","Private Health","Female","8882","3914","12796"
"National","free state","Private Health","Male","7249","2969","10218"
"National","free state","Public Health","Female","77664","31063","108727"
"National","free state","Public Health","Male","65816","22599","88415"
"National","gauteng","Private Health","Female","54203","28357","82560"
"National","gauteng","Private Health","Male","49184","23989","73173"
"National","gauteng","Public Health","Female","147235","48943","196178"
"National","gauteng","Public Health","Male","116227","36027","152254"
"National","kwazulu-natal","Private Health","Female","17477","9292","26769"
"National","kwazulu-natal","Private Health","Male","15747","7825","23572"
"National","kwazulu-natal","Public Health","Female","122455","36120","158575"
"National","kwazulu-natal","Public Health","Male","83102","21960","105062"
"National","limpopo","Private Health","Female","10708","4462","15170"
"National","limpopo","Private Health","Male","8419","3197","11616"
"National","limpopo","Public Health","Female","115175","32169","147344"
"National","limpopo","Public Health","Male","96696","24223","120919"
"National","mpumalanga","Private Health","Female","4045","1594","5639"
"National","mpumalanga","Private Health","Male","3516","1371","4887"
"National","mpumalanga","Public Health","Female","64448","16363","80811"
"National","mpumalanga","Public Health","Male","54321","11842","66163"
"National","northern cape","Private Health","Female","2140","984","3124"
"National","northern cape","Private Health","Male","1932","725","2657"
"National","northern cape","Public Health","Female","11726","3381","15107"
"National","northern cape","Public Health","Male","9376","2530","11906"
"National","north west","Private Health","Female","5237","2295","7532"
"National","north west","Private Health","Male","4723","1931","6654"
"National","north west","Public Health","Female","72979","21101","94080"
"National","north west","Public Health","Male","60317","15083","75400"
"National","western cape","Private Health","Female","23654","11613","35267"
"National","western cape","Private Health","Male","21082","9877","30959"
"National","western cape","Public Health","Female","46585","14718","61303"
"National","western cape","Public Health","Male","38614","11987","50601"
