"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","511428"
"kwazulu-natal","Private Health","1184305"
"western cape","Private Health","1835372"
"limpopo","Private Health","569737"
"northern cape","Public Health","542663"
"gauteng","Private Health","4354559"
"kwazulu-natal","Public Health","4205009"
"free state","Public Health","1713946"
"north west","Public Health","1668891"
"gauteng","Public Health","5483162"
"mpumalanga","Private Health","383419"
"mpumalanga","Public Health","1715338"
"northern cape","Private Health","149928"
"eastern cape","Private Health","660632"
"western cape","Public Health","3533189"
"limpopo","Public Health","2867215"
"free state","Private Health","375964"
"eastern cape","Public Health","3186706"
