"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","531494"
"kwazulu-natal","Private Health","1221693"
"western cape","Private Health","1898206"
"limpopo","Private Health","595318"
"northern cape","Public Health","585463"
"gauteng","Private Health","4507352"
"kwazulu-natal","Public Health","4538506"
"free state","Public Health","1821403"
"north west","Public Health","1760942"
"gauteng","Public Health","5747922"
"mpumalanga","Private Health","398049"
"mpumalanga","Public Health","1858387"
"northern cape","Private Health","155722"
"eastern cape","Private Health","683924"
"western cape","Public Health","3634518"
"limpopo","Public Health","3080288"
"free state","Private Health","394633"
"eastern cape","Public Health","3429452"
