"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10580","5124","15704"
"National","eastern cape","Private Health","Male","8910","3951","12861"
"National","eastern cape","Public Health","Female","144349","50708","195057"
"National","eastern cape","Public Health","Male","118332","35426","153758"
"National","free state","Private Health","Female","9210","4557","13767"
"National","free state","Private Health","Male","7544","3475","11019"
"National","free state","Public Health","Female","84046","39731","123777"
"National","free state","Public Health","Male","71828","29710","101538"
"National","gauteng","Private Health","Female","53886","30072","83958"
"National","gauteng","Private Health","Male","49485","25736","75221"
"National","gauteng","Public Health","Female","163917","65462","229379"
"National","gauteng","Public Health","Male","129434","47920","177354"
"National","kwazulu-natal","Private Health","Female","17299","9691","26990"
"National","kwazulu-natal","Private Health","Male","15637","8234","23871"
"National","kwazulu-natal","Public Health","Female","156226","63505","219731"
"National","kwazulu-natal","Public Health","Male","106395","38722","145117"
"National","limpopo","Private Health","Female","11852","5132","16984"
"National","limpopo","Private Health","Male","9230","3580","12810"
"National","limpopo","Public Health","Female","141327","47248","188575"
"National","limpopo","Public Health","Male","122773","35392","158165"
"National","mpumalanga","Private Health","Female","4038","1720","5758"
"National","mpumalanga","Private Health","Male","3525","1497","5022"
"National","mpumalanga","Public Health","Female","75528","25317","100845"
"National","mpumalanga","Public Health","Male","62736","17661","80397"
"National","northern cape","Private Health","Female","2147","1065","3212"
"National","northern cape","Private Health","Male","1976","800","2776"
"National","northern cape","Public Health","Female","17026","5520","22546"
"National","northern cape","Public Health","Male","13333","4065","17398"
"National","north west","Private Health","Female","5282","2441","7723"
"National","north west","Private Health","Male","4764","2041","6805"
"National","north west","Public Health","Female","79246","27859","107105"
"National","north west","Public Health","Male","65574","20077","85651"
"National","western cape","Private Health","Female","23703","12617","36320"
"National","western cape","Private Health","Male","21331","10910","32241"
"National","western cape","Public Health","Female","47316","15829","63145"
"National","western cape","Public Health","Male","39411","12924","52335"
