"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","534657"
"kwazulu-natal","Private Health","1230735"
"western cape","Private Health","1911754"
"limpopo","Private Health","601951"
"northern cape","Public Health","603570"
"gauteng","Private Health","4546343"
"kwazulu-natal","Public Health","4613098"
"free state","Public Health","1845980"
"north west","Public Health","1776097"
"gauteng","Public Health","5793638"
"mpumalanga","Private Health","404557"
"mpumalanga","Public Health","1902623"
"northern cape","Private Health","156862"
"eastern cape","Private Health","689797"
"western cape","Public Health","3659047"
"limpopo","Public Health","3111517"
"free state","Private Health","398140"
"eastern cape","Public Health","3485568"
