"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","168"
"Janssen Vaccines & Prevention B.V","free state","Adults","64"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","329"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","264"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","192"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","183"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","7"
"Janssen Vaccines & Prevention B.V","north west","Adults","45"
"Janssen Vaccines & Prevention B.V","western cape","Adults","94"
"Pfizer","eastern cape","12-17 Years","630"
"Pfizer","eastern cape","Adults","427"
"Pfizer","free state","12-17 Years","138"
"Pfizer","free state","Adults","110"
"Pfizer","gauteng","12-17 Years","122"
"Pfizer","gauteng","Adults","388"
"Pfizer","kwazulu-natal","12-17 Years","732"
"Pfizer","kwazulu-natal","Adults","402"
"Pfizer","limpopo","12-17 Years","232"
"Pfizer","limpopo","Adults","218"
"Pfizer","mpumalanga","12-17 Years","269"
"Pfizer","mpumalanga","Adults","121"
"Pfizer","northern cape","12-17 Years","43"
"Pfizer","northern cape","Adults","15"
"Pfizer","north west","12-17 Years","23"
"Pfizer","north west","Adults","47"
"Pfizer","western cape","12-17 Years","79"
"Pfizer","western cape","Adults","180"
