"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","91"
"eastern cape","Public Health","2863"
"free state","Private Health","28"
"free state","Public Health","828"
"gauteng","Private Health","683"
"gauteng","Public Health","1224"
"kwazulu-natal","Private Health","178"
"kwazulu-natal","Public Health","2239"
"limpopo","Private Health","178"
"limpopo","Public Health","1499"
"mpumalanga","Private Health","77"
"mpumalanga","Public Health","1312"
"northern cape","Private Health","15"
"northern cape","Public Health","178"
"north west","Private Health","72"
"north west","Public Health","201"
"western cape","Private Health","222"
"western cape","Public Health","868"
