"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536643"
"kwazulu-natal","Private Health","1236003"
"western cape","Private Health","1921325"
"limpopo","Private Health","607955"
"northern cape","Public Health","607122"
"gauteng","Private Health","4569590"
"kwazulu-natal","Public Health","4654032"
"free state","Public Health","1860988"
"north west","Public Health","1783567"
"gauteng","Public Health","5826966"
"mpumalanga","Private Health","406076"
"mpumalanga","Public Health","1924192"
"northern cape","Private Health","157893"
"eastern cape","Private Health","693883"
"western cape","Public Health","3677246"
"limpopo","Public Health","3138155"
"free state","Private Health","400002"
"eastern cape","Public Health","3534107"
