"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10199","5086","15285"
"National","eastern cape","Private Health","Male","8622","3939","12561"
"National","eastern cape","Public Health","Female","149549","60925","210474"
"National","eastern cape","Public Health","Male","123559","44411","167970"
"National","free state","Private Health","Female","9106","4628","13734"
"National","free state","Private Health","Male","7500","3584","11084"
"National","free state","Public Health","Female","83181","40914","124095"
"National","free state","Public Health","Male","71272","30803","102075"
"National","gauteng","Private Health","Female","52741","30136","82877"
"National","gauteng","Private Health","Male","48446","25907","74353"
"National","gauteng","Public Health","Female","160800","65924","226724"
"National","gauteng","Public Health","Male","127302","48595","175897"
"National","kwazulu-natal","Private Health","Female","16650","9505","26155"
"National","kwazulu-natal","Private Health","Male","15156","8181","23337"
"National","kwazulu-natal","Public Health","Female","157079","72096","229175"
"National","kwazulu-natal","Public Health","Male","107198","43835","151033"
"National","limpopo","Private Health","Female","11786","5345","17131"
"National","limpopo","Private Health","Male","9169","3706","12875"
"National","limpopo","Public Health","Female","144584","51256","195840"
"National","limpopo","Public Health","Male","124910","38341","163251"
"National","mpumalanga","Private Health","Female","3894","1700","5594"
"National","mpumalanga","Private Health","Male","3409","1515","4924"
"National","mpumalanga","Public Health","Female","77279","28787","106066"
"National","mpumalanga","Public Health","Male","63590","19817","83407"
"National","northern cape","Private Health","Female","2098","1046","3144"
"National","northern cape","Private Health","Male","1922","818","2740"
"National","northern cape","Public Health","Female","18149","7349","25498"
"National","northern cape","Public Health","Male","14256","5397","19653"
"National","north west","Private Health","Female","5108","2410","7518"
"National","north west","Private Health","Male","4638","2029","6667"
"National","north west","Public Health","Female","77610","27911","105521"
"National","north west","Public Health","Male","64419","20431","84850"
"National","western cape","Private Health","Female","23014","12624","35638"
"National","western cape","Private Health","Male","20848","10933","31781"
"National","western cape","Public Health","Female","48405","16776","65181"
"National","western cape","Public Health","Male","40533","13768","54301"
