"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","330"
"eastern cape","Public Health","3540"
"free state","Private Health","242"
"free state","Public Health","1914"
"gauteng","Private Health","2188"
"gauteng","Public Health","4541"
"kwazulu-natal","Private Health","453"
"kwazulu-natal","Public Health","4567"
"limpopo","Private Health","400"
"limpopo","Public Health","4939"
"mpumalanga","Private Health","290"
"mpumalanga","Public Health","2515"
"northern cape","Private Health","101"
"northern cape","Public Health","1064"
"north west","Private Health","277"
"north west","Public Health","1449"
"western cape","Private Health","1084"
"western cape","Public Health","1698"
