"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","293","0","653","946"
"Janssen Vaccines & Prevention B.V","free state","Adults","229","0","464","693"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","902","0","683","1585"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","586","0","596","1182"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","395","0","778","1173"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","606","0","658","1264"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","61","0","231","292"
"Janssen Vaccines & Prevention B.V","north west","Adults","191","0","308","499"
"Janssen Vaccines & Prevention B.V","western cape","Adults","256","0","318","574"
"Pfizer","eastern cape","12-17 Years","517","577","0","1094"
"Pfizer","eastern cape","Adults","335","582","913","1830"
"Pfizer","free state","12-17 Years","153","180","0","333"
"Pfizer","free state","Adults","208","361","561","1130"
"Pfizer","gauteng","12-17 Years","731","632","0","1363"
"Pfizer","gauteng","Adults","1044","1259","1478","3781"
"Pfizer","kwazulu-natal","12-17 Years","590","543","0","1133"
"Pfizer","kwazulu-natal","Adults","763","992","950","2705"
"Pfizer","limpopo","12-17 Years","1861","625","0","2486"
"Pfizer","limpopo","Adults","319","615","746","1680"
"Pfizer","mpumalanga","12-17 Years","311","189","0","500"
"Pfizer","mpumalanga","Adults","259","318","464","1041"
"Pfizer","northern cape","12-17 Years","342","91","0","433"
"Pfizer","northern cape","Adults","134","150","156","440"
"Pfizer","north west","12-17 Years","178","140","0","318"
"Pfizer","north west","Adults","222","302","385","909"
"Pfizer","western cape","12-17 Years","175","142","0","317"
"Pfizer","western cape","Adults","335","545","1011","1891"
