"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","769","0","1416","2185"
"Janssen Vaccines & Prevention B.V","free state","Adults","283","0","702","985"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1227","0","1163","2390"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","849","0","1028","1877"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","812","0","1296","2108"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","751","0","822","1573"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","150","0","344","494"
"Janssen Vaccines & Prevention B.V","north west","Adults","358","0","544","902"
"Janssen Vaccines & Prevention B.V","western cape","Adults","281","0","422","703"
"Pfizer","eastern cape","12-17 Years","1411","882","0","2293"
"Pfizer","eastern cape","Adults","483","860","1608","2951"
"Pfizer","free state","12-17 Years","371","667","0","1038"
"Pfizer","free state","Adults","358","428","886","1672"
"Pfizer","gauteng","12-17 Years","1452","974","0","2426"
"Pfizer","gauteng","Adults","1603","1968","2708","6279"
"Pfizer","kwazulu-natal","12-17 Years","1288","1291","0","2579"
"Pfizer","kwazulu-natal","Adults","1134","1265","1426","3825"
"Pfizer","limpopo","12-17 Years","1600","779","0","2379"
"Pfizer","limpopo","Adults","504","696","1468","2668"
"Pfizer","mpumalanga","12-17 Years","475","321","0","796"
"Pfizer","mpumalanga","Adults","281","374","681","1336"
"Pfizer","northern cape","12-17 Years","474","166","0","640"
"Pfizer","northern cape","Adults","113","143","303","559"
"Pfizer","north west","12-17 Years","345","349","0","694"
"Pfizer","north west","Adults","272","294","468","1034"
"Pfizer","western cape","12-17 Years","86","106","0","192"
"Pfizer","western cape","Adults","525","579","1547","2651"
