"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","653"
"eastern cape","Public Health","6776"
"free state","Private Health","512"
"free state","Public Health","3183"
"gauteng","Private Health","3221"
"gauteng","Public Health","7874"
"kwazulu-natal","Private Health","795"
"kwazulu-natal","Public Health","7486"
"limpopo","Private Health","671"
"limpopo","Public Health","6484"
"mpumalanga","Private Health","333"
"mpumalanga","Public Health","3372"
"northern cape","Private Health","99"
"northern cape","Public Health","1594"
"north west","Private Health","467"
"north west","Public Health","2163"
"western cape","Private Health","1456"
"western cape","Public Health","2090"
