"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","710"
"Janssen Vaccines & Prevention B.V","free state","Adults","260"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1334"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","775"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","637"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","901"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","134"
"Janssen Vaccines & Prevention B.V","north west","Adults","489"
"Janssen Vaccines & Prevention B.V","western cape","Adults","468"
"Pfizer","eastern cape","12-17 Years","1347"
"Pfizer","eastern cape","Adults","949"
"Pfizer","free state","12-17 Years","746"
"Pfizer","free state","Adults","440"
"Pfizer","gauteng","12-17 Years","1363"
"Pfizer","gauteng","Adults","2660"
"Pfizer","kwazulu-natal","12-17 Years","1241"
"Pfizer","kwazulu-natal","Adults","1359"
"Pfizer","limpopo","12-17 Years","845"
"Pfizer","limpopo","Adults","670"
"Pfizer","mpumalanga","12-17 Years","408"
"Pfizer","mpumalanga","Adults","354"
"Pfizer","northern cape","12-17 Years","56"
"Pfizer","northern cape","Adults","147"
"Pfizer","north west","12-17 Years","513"
"Pfizer","north west","Adults","528"
"Pfizer","western cape","12-17 Years","113"
"Pfizer","western cape","Adults","810"
