"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","593"
"eastern cape","Public Health","7194"
"free state","Private Health","465"
"free state","Public Health","3436"
"gauteng","Private Health","4226"
"gauteng","Public Health","6363"
"kwazulu-natal","Private Health","1121"
"kwazulu-natal","Public Health","5700"
"limpopo","Private Health","752"
"limpopo","Public Health","6282"
"mpumalanga","Private Health","366"
"mpumalanga","Public Health","3699"
"northern cape","Private Health","180"
"northern cape","Public Health","928"
"north west","Private Health","737"
"north west","Public Health","2742"
"western cape","Private Health","1876"
"western cape","Public Health","2626"
