"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","530968"
"kwazulu-natal","Private Health","1220528"
"western cape","Private Health","1896271"
"limpopo","Private Health","594445"
"northern cape","Public Health","583064"
"gauteng","Private Health","4501511"
"kwazulu-natal","Public Health","4527703"
"free state","Public Health","1817130"
"north west","Public Health","1758456"
"gauteng","Public Health","5739635"
"mpumalanga","Private Health","397313"
"mpumalanga","Public Health","1852539"
"northern cape","Private Health","155580"
"eastern cape","Private Health","682804"
"western cape","Public Health","3630936"
"limpopo","Public Health","3075767"
"free state","Private Health","394112"
"eastern cape","Public Health","3421701"
