"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","89"
"Janssen Vaccines & Prevention B.V","free state","Adults","22"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","273"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","109"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","71"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","137"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","6"
"Janssen Vaccines & Prevention B.V","north west","Adults","47"
"Janssen Vaccines & Prevention B.V","western cape","Adults","60"
"Pfizer","eastern cape","12-17 Years","426"
"Pfizer","eastern cape","Adults","209"
"Pfizer","free state","12-17 Years","108"
"Pfizer","free state","Adults","85"
"Pfizer","gauteng","12-17 Years","80"
"Pfizer","gauteng","Adults","318"
"Pfizer","kwazulu-natal","12-17 Years","155"
"Pfizer","kwazulu-natal","Adults","180"
"Pfizer","limpopo","12-17 Years","250"
"Pfizer","limpopo","Adults","75"
"Pfizer","mpumalanga","12-17 Years","167"
"Pfizer","mpumalanga","Adults","74"
"Pfizer","northern cape","12-17 Years","58"
"Pfizer","northern cape","Adults","14"
"Pfizer","north west","12-17 Years","15"
"Pfizer","north west","Adults","22"
"Pfizer","western cape","12-17 Years","137"
"Pfizer","western cape","Adults","91"
