"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","43"
"eastern cape","Public Health","1656"
"free state","Private Health","22"
"free state","Public Health","450"
"gauteng","Private Health","476"
"gauteng","Public Health","1084"
"kwazulu-natal","Private Health","65"
"kwazulu-natal","Public Health","828"
"limpopo","Private Health","62"
"limpopo","Public Health","834"
"mpumalanga","Private Health","35"
"mpumalanga","Public Health","684"
"northern cape","Private Health","7"
"northern cape","Public Health","112"
"north west","Private Health","34"
"north west","Public Health","145"
"western cape","Private Health","118"
"western cape","Public Health","446"
