"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","535829"
"kwazulu-natal","Private Health","1233882"
"western cape","Private Health","1917803"
"limpopo","Private Health","606426"
"northern cape","Public Health","605919"
"gauteng","Private Health","4560063"
"kwazulu-natal","Public Health","4642237"
"free state","Public Health","1855457"
"north west","Public Health","1780796"
"gauteng","Public Health","5814189"
"mpumalanga","Private Health","405590"
"mpumalanga","Public Health","1916171"
"northern cape","Private Health","157548"
"eastern cape","Private Health","693040"
"western cape","Public Health","3670466"
"limpopo","Public Health","3127988"
"free state","Private Health","399131"
"eastern cape","Public Health","3514234"
