"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","3"
"Janssen Vaccines & Prevention B.V","free state","Adults","2"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","27"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","30"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","6"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","15"
"Janssen Vaccines & Prevention B.V","north west","Adults","26"
"Janssen Vaccines & Prevention B.V","western cape","Adults","7"
"Pfizer","eastern cape","Adults","13"
"Pfizer","free state","12-17 Years","1"
"Pfizer","free state","Adults","4"
"Pfizer","gauteng","12-17 Years","8"
"Pfizer","gauteng","Adults","61"
"Pfizer","kwazulu-natal","12-17 Years","1"
"Pfizer","kwazulu-natal","Adults","40"
"Pfizer","limpopo","12-17 Years","2"
"Pfizer","limpopo","Adults","3"
"Pfizer","mpumalanga","12-17 Years","5"
"Pfizer","mpumalanga","Adults","7"
"Pfizer","northern cape","12-17 Years","1"
"Pfizer","northern cape","Adults","2"
"Pfizer","north west","12-17 Years","3"
"Pfizer","north west","Adults","24"
"Pfizer","western cape","12-17 Years","4"
"Pfizer","western cape","Adults","5"
