"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","1"
"eastern cape","Public Health","71"
"free state","Private Health","20"
"gauteng","Private Health","199"
"gauteng","Public Health","42"
"kwazulu-natal","Private Health","23"
"kwazulu-natal","Public Health","107"
"limpopo","Private Health","6"
"limpopo","Public Health","15"
"mpumalanga","Private Health","2"
"mpumalanga","Public Health","41"
"northern cape","Private Health","5"
"north west","Private Health","4"
"north west","Public Health","133"
"western cape","Private Health","49"
"western cape","Public Health","4"
