"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","3","0","23","26"
"Janssen Vaccines & Prevention B.V","free state","Adults","2","0","3","5"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","27","0","13","40"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","30","0","25","55"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","6","0","1","7"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","15","0","8","23"
"Janssen Vaccines & Prevention B.V","north west","Adults","26","0","47","73"
"Janssen Vaccines & Prevention B.V","western cape","Adults","7","0","0","7"
"Pfizer","eastern cape","Adults","4","13","29","46"
"Pfizer","free state","12-17 Years","0","1","0","1"
"Pfizer","free state","Adults","3","4","7","14"
"Pfizer","gauteng","12-17 Years","15","8","0","23"
"Pfizer","gauteng","Adults","53","61","64","178"
"Pfizer","kwazulu-natal","12-17 Years","4","1","0","5"
"Pfizer","kwazulu-natal","Adults","9","40","21","70"
"Pfizer","limpopo","12-17 Years","3","2","0","5"
"Pfizer","limpopo","Adults","4","3","2","9"
"Pfizer","mpumalanga","12-17 Years","2","5","0","7"
"Pfizer","mpumalanga","Adults","1","7","5","13"
"Pfizer","northern cape","12-17 Years","0","1","0","1"
"Pfizer","northern cape","Adults","1","2","1","4"
"Pfizer","north west","12-17 Years","2","3","0","5"
"Pfizer","north west","Adults","20","24","15","59"
"Pfizer","western cape","12-17 Years","2","4","0","6"
"Pfizer","western cape","Adults","13","5","22","40"
