"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","5"
"eastern cape","Public Health","30"
"free state","Private Health","3"
"free state","Public Health","43"
"gauteng","Private Health","35"
"gauteng","Public Health","45"
"kwazulu-natal","Public Health","159"
"limpopo","Private Health","12"
"limpopo","Public Health","9"
"mpumalanga","Public Health","12"
"northern cape","Public Health","1"
"north west","Private Health","1"
"north west","Public Health","233"
"western cape","Private Health","6"
"western cape","Public Health","3"
