"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","89","0","243","332"
"Janssen Vaccines & Prevention B.V","free state","Adults","25","0","106","131"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","285","0","192","477"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","188","0","178","366"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","106","0","150","256"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","120","0","161","281"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","14","0","30","44"
"Janssen Vaccines & Prevention B.V","north west","Adults","51","0","73","124"
"Janssen Vaccines & Prevention B.V","western cape","Adults","74","0","74","148"
"Pfizer","eastern cape","12-17 Years","815","756","0","1571"
"Pfizer","eastern cape","Adults","174","276","364","814"
"Pfizer","free state","12-17 Years","74","127","0","201"
"Pfizer","free state","Adults","84","135","224","443"
"Pfizer","gauteng","12-17 Years","67","70","0","137"
"Pfizer","gauteng","Adults","366","360","400","1126"
"Pfizer","kwazulu-natal","12-17 Years","206","280","0","486"
"Pfizer","kwazulu-natal","Adults","305","388","262","955"
"Pfizer","limpopo","12-17 Years","613","277","0","890"
"Pfizer","limpopo","Adults","162","259","125","546"
"Pfizer","mpumalanga","12-17 Years","224","191","0","415"
"Pfizer","mpumalanga","Adults","116","88","73","277"
"Pfizer","northern cape","12-17 Years","87","20","0","107"
"Pfizer","northern cape","Adults","20","16","14","50"
"Pfizer","north west","12-17 Years","70","23","0","93"
"Pfizer","north west","Adults","40","46","42","128"
"Pfizer","western cape","12-17 Years","200","44","0","244"
"Pfizer","western cape","Adults","129","157","245","531"
