"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","109"
"eastern cape","Public Health","2608"
"free state","Private Health","32"
"free state","Public Health","743"
"gauteng","Private Health","522"
"gauteng","Public Health","1218"
"kwazulu-natal","Private Health","121"
"kwazulu-natal","Public Health","1686"
"limpopo","Private Health","261"
"limpopo","Public Health","1431"
"mpumalanga","Private Health","40"
"mpumalanga","Public Health","933"
"northern cape","Private Health","18"
"northern cape","Public Health","183"
"north west","Private Health","47"
"north west","Public Health","298"
"western cape","Private Health","192"
"western cape","Public Health","731"
