"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","89"
"Janssen Vaccines & Prevention B.V","free state","Adults","25"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","285"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","188"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","106"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","120"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","14"
"Janssen Vaccines & Prevention B.V","north west","Adults","51"
"Janssen Vaccines & Prevention B.V","western cape","Adults","74"
"Pfizer","eastern cape","12-17 Years","756"
"Pfizer","eastern cape","Adults","276"
"Pfizer","free state","12-17 Years","127"
"Pfizer","free state","Adults","135"
"Pfizer","gauteng","12-17 Years","70"
"Pfizer","gauteng","Adults","360"
"Pfizer","kwazulu-natal","12-17 Years","280"
"Pfizer","kwazulu-natal","Adults","388"
"Pfizer","limpopo","12-17 Years","277"
"Pfizer","limpopo","Adults","259"
"Pfizer","mpumalanga","12-17 Years","191"
"Pfizer","mpumalanga","Adults","88"
"Pfizer","northern cape","12-17 Years","20"
"Pfizer","northern cape","Adults","16"
"Pfizer","north west","12-17 Years","23"
"Pfizer","north west","Adults","46"
"Pfizer","western cape","12-17 Years","44"
"Pfizer","western cape","Adults","157"
