"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10270","5101","15371"
"National","eastern cape","Private Health","Male","8693","3965","12658"
"National","eastern cape","Public Health","Female","148501","59115","207616"
"National","eastern cape","Public Health","Male","122577","42763","165340"
"National","free state","Private Health","Female","9135","4630","13765"
"National","free state","Private Health","Male","7527","3568","11095"
"National","free state","Public Health","Female","83415","40858","124273"
"National","free state","Public Health","Male","71434","30731","102165"
"National","gauteng","Private Health","Female","52958","30222","83180"
"National","gauteng","Private Health","Male","48642","25937","74579"
"National","gauteng","Public Health","Female","161327","65960","227287"
"National","gauteng","Public Health","Male","127676","48565","176241"
"National","kwazulu-natal","Private Health","Female","16779","9554","26333"
"National","kwazulu-natal","Private Health","Male","15255","8199","23454"
"National","kwazulu-natal","Public Health","Female","157595","71687","229282"
"National","kwazulu-natal","Public Health","Male","107449","43442","150891"
"National","limpopo","Private Health","Female","11801","5323","17124"
"National","limpopo","Private Health","Male","9181","3696","12877"
"National","limpopo","Public Health","Female","144569","50651","195220"
"National","limpopo","Public Health","Male","124809","37809","162618"
"National","mpumalanga","Private Health","Female","3919","1706","5625"
"National","mpumalanga","Private Health","Male","3429","1519","4948"
"National","mpumalanga","Public Health","Female","77219","28122","105341"
"National","mpumalanga","Public Health","Male","63597","19372","82969"
"National","northern cape","Private Health","Female","2110","1045","3155"
"National","northern cape","Private Health","Male","1937","819","2756"
"National","northern cape","Public Health","Female","18121","7232","25353"
"National","northern cape","Public Health","Male","14242","5297","19539"
"National","north west","Private Health","Female","5141","2407","7548"
"National","north west","Private Health","Male","4661","2030","6691"
"National","north west","Public Health","Female","77940","27983","105923"
"National","north west","Public Health","Male","64669","20450","85119"
"National","western cape","Private Health","Female","23134","12660","35794"
"National","western cape","Private Health","Male","20955","10966","31921"
"National","western cape","Public Health","Female","48223","16506","64729"
"National","western cape","Public Health","Male","40356","13583","53939"
